step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
228,20368,912,0.16536651221127766,0.25,0.25,,,,,
229,20500,916,0.14661816236565534,0.25,0.25,,,,,
230,20600,920,0.12273698043994348,0.25,0.25,,,,,
231,20700,924,0.14290276112605171,0.5,0.5,,,,,
232,20768,928,0.08577450302985198,1.0,1.0,,,,,
233,20836,932,0.19500142407878227,0.0,0.0,0.11446982861935567,0.75,0.75,,
234,20936,936,0.10430903434617449,0.25,0.25,,,,,
235,21068,940,0.1236826008860561,0.25,0.25,,,,,
236,21168,944,0.17613924750612,0.25,0.25,,,,,
237,21236,948,0.24570455466230212,0.5,0.5,,,,,
238,21304,952,0.46961074829341215,0.0,0.0,,,,,
239,21404,956,0.1674041764979635,0.0,0.0,,,,,
240,21504,960,0.11755105776366541,0.25,0.25,,,,,
241,21604,964,0.07882959695157753,0.5,0.5,0.11903783408094568,0.25,0.25,,
242,21704,968,0.16139580836427433,0.25,0.25,,,,,
243,21772,972,0.23062653034438427,0.25,0.25,,,,,
244,21872,976,0.17000655332481832,0.0,0.0,,,,,
245,21940,980,0.24688497719457586,0.0,0.0,,,,,
246,22040,984,0.20134045267049108,0.25,0.25,,,,,
247,22140,988,0.12602137752780132,0.5,0.5,,,,,
248,22240,992,0.12259778285061392,0.5,0.5,,,,,
249,22340,996,0.11565233418829395,0.5,0.5,0.15820204703193552,0.5,0.5,,
250,22440,1000,0.14209036160538288,0.5,0.5,,,,,
251,22540,1004,0.1820336667466457,0.0,0.0,,,,,
252,22608,1008,0.11998642199211303,0.5,0.5,,,,,
253,22676,1012,0.1294377083147498,0.75,0.75,,,,,
254,22744,1016,0.2008616003973907,0.5,0.5,,,,,
255,22812,1020,0.17169579859553893,0.25,0.25,,,,,
256,22912,1024,0.1326717902878439,0.5,0.5,,,,,
257,22980,1028,0.17837078556703317,0.75,0.75,0.1691331864920153,0.25,0.25,,
258,23048,1032,0.21029247049889363,0.5,0.5,,,,,
259,23116,1036,0.14866978406911133,0.75,0.75,,,,,
260,23216,1040,0.12641045243338264,0.75,0.75,,,,,
261,23316,1044,0.11679670344186284,0.5,0.5,,,,,
262,23384,1048,0.18263538848163988,0.75,0.75,,,,,
263,23484,1052,0.07402643557339462,0.75,0.75,,,,,
264,23584,1056,0.0841483783076122,0.75,0.75,,,,,
265,23684,1060,0.1284236783989036,0.5,0.5,0.18320949380344245,0.25,0.25,,
266,23752,1064,0.1484356551755627,0.5,0.5,,,,,
267,23820,1068,0.1394320661068923,0.5,0.5,,,,,
268,23920,1072,0.08663149318289166,0.5,0.5,,,,,
269,23988,1076,0.16171875824042217,0.5,0.5,,,,,
270,24088,1080,0.07812096450264412,0.75,0.75,,,,,
271,24188,1084,0.12944773039082064,0.5,0.5,,,,,
272,24288,1088,0.09297122094249062,0.75,0.75,,,,,
273,24356,1092,0.10817844541573321,0.75,0.75,0.18132854239403967,0.5,0.5,,
274,24456,1096,0.05277013257499979,1.0,1.0,,,,,
275,24556,1100,0.0724363352872145,1.0,1.0,,,,,
276,24656,1104,0.08422808483808088,0.75,0.75,,,,,
277,24756,1108,0.12573335825099397,0.5,0.5,,,,,
278,24824,1112,0.14600254604994917,0.75,0.75,,,,,
279,24892,1116,0.15293831548918208,0.5,0.5,,,,,
280,24960,1120,0.2497668098298914,0.25,0.25,,,,,
281,25028,1124,0.24882582167301734,0.5,0.5,0.08848282382649814,1.0,1.0,,
282,25096,1128,0.13630844832217917,0.5,0.5,,,,,
283,25164,1132,0.11525231447634267,0.75,0.75,,,,,
284,25264,1136,0.14529017618057574,0.5,0.5,,,,,
285,25332,1140,0.1480655453511463,0.75,0.75,,,,,
286,25432,1144,0.07294269013589277,0.75,0.75,,,,,
287,25500,1148,0.07233351697911077,1.0,1.0,,,,,
288,25600,1152,0.06088675214665349,0.75,0.75,,,,,
289,25700,1156,0.05788006040912099,0.75,0.75,0.165185032106192,0.25,0.25,,
290,25768,1160,0.09522089384220978,0.75,0.75,,,,,
291,25836,1164,0.23968978199711385,0.5,0.5,,,,,
292,25936,1168,0.11599207797954175,0.5,0.5,,,,,
293,26036,1172,0.15795108912558134,0.25,0.25,,,,,
294,26136,1176,0.02882161597662844,1.0,1.0,,,,,
295,26204,1180,0.08810095317614922,0.75,0.75,,,,,
296,26304,1184,0.09256229137883337,0.5,0.5,,,,,
297,26404,1188,0.06300561967852673,0.75,0.75,0.07851006699621393,0.75,0.75,,
298,26472,1192,0.2645111379843132,0.25,0.25,,,,,
299,26540,1196,0.14191184051960593,0.5,0.5,,,,,
300,26640,1200,0.15535126985361747,0.25,0.25,,,,,
301,26740,1204,0.1351296209629254,0.25,0.25,,,,,
302,26808,1208,0.11970538736534424,0.75,0.75,,,,,
303,26908,1212,0.03204036398732872,1.0,1.0,,,,,
304,26976,1216,0.14592733038894667,0.25,0.25,,,,,
305,27044,1220,0.09803637107478891,0.75,0.75,0.07649150779936235,0.75,0.75,,
306,27112,1224,0.14731460123146917,0.5,0.5,,,,,
307,27180,1228,0.1442295297386545,0.5,0.5,,,,,
308,27248,1232,0.07963026907503945,0.75,0.75,,,,,
309,27348,1236,0.11381736592419128,0.5,0.5,,,,,
310,27448,1240,0.13060117235990523,0.5,0.5,,,,,
311,27516,1244,0.18584738298572123,0.5,0.5,,,,,
312,27584,1248,0.14338974530071028,0.75,0.75,,,,,
313,27652,1252,0.10441738247719967,0.75,0.75,0.1630491701581923,0.25,0.25,,
314,27752,1256,0.07140029421263232,0.75,0.75,,,,,
315,27852,1260,0.07173426820053161,0.75,0.75,,,,,
316,27952,1264,0.06407427573873671,1.0,1.0,,,,,
317,28020,1268,0.09614705788660104,0.5,0.5,,,,,
318,28120,1272,0.05847760313326262,0.75,0.75,,,,,
319,28220,1276,0.07280288613980247,0.75,0.75,,,,,
320,28320,1280,0.03892058288681559,1.0,1.0,,,,,
321,28388,1284,0.1007612149270676,0.75,0.75,0.08651862873724894,0.75,0.75,,
322,28488,1288,0.05983576481277699,1.0,1.0,,,,,
323,28588,1292,0.09281725968807224,0.5,0.5,,,,,
324,28688,1296,0.040381259654824746,1.0,1.0,,,,,
325,28788,1300,0.08802845606644649,0.75,0.75,,,,,
326,28888,1304,0.08286296413041176,0.75,0.75,,,,,
327,28956,1308,0.07028565340973728,1.0,1.0,,,,,
328,29024,1312,0.07744536900114327,0.75,0.75,,,,,
